id,source,published,title,use_level,format,source_file,normalized_file,source_url,sha256,scenario_focus,platform,validation
CISA-AA24-249A,CISA/FBI/NSA et al.,2024-09-05,Russian Military Cyber Actors Target U.S. and Global Critical Infrastructure,B,PDF,CISA/2024-09-05_AA24-249A_GRU-Unit-29155-Critical-Infrastructure.pdf,,https://www.cisa.gov/sites/default/files/2024-09/aa24-249a-russian-military-cyber-actors-target-us-and-global-critical-infrastructure.pdf,e5146e766c9264d6d2e651ce62f36243aa4b129021b05641de6c9c74515bdd66,public-facing exploitation; credential access; destructive malware,Windows/Enterprise,PDF; 36 pages; readable
CISA-AA24-038A,CISA/NSA/FBI et al.,2024-02-07,PRC State-Sponsored Actors Compromise and Maintain Persistent Access to U.S. Critical Infrastructure,A,PDF,CISA/2024-02-07_AA24-038A_Volt-Typhoon-Critical-Infrastructure.pdf,,https://www.cisa.gov/sites/default/files/2024-02/aa24-038a-jcsa-prc-state-sponsored-actors-compromise-us-critical-infrastructure_1.pdf,cc52cb97e7623e4cec977858b36ac64014e2321c6fe6a56506249fca59ce7b61,living off the land; credential access; persistence; command history,Windows/Enterprise,PDF; 45 pages; readable
DFIR-2020-04-04-94442883,The DFIR Report,2020-04-04,GoGoogle Ransomware - The DFIR Report,A,HTML,The_DFIR_Report/2020-04-04_gogoogle-ransomware.html,The_DFIR_Report/2020-04-04_gogoogle-ransomware.md,https://thedfirreport.com/2020/04/04/gogoogle-ransomware/,12c3bb14b4336f69774b10cbd96d4a301d23bc1915df913b3f2b8d4e4b1a8d11,impact or ransomware,Windows/AD,HTTP 200; Markdown extracted; 821 words
DFIR-2020-04-14-c4b1c9e0,The DFIR Report,2020-04-14,Dharma Ransomware - The DFIR Report,B,HTML,The_DFIR_Report/2020-04-14_dharma-ransomware.html,The_DFIR_Report/2020-04-14_dharma-ransomware.md,https://thedfirreport.com/2020/04/14/dharma-ransomware/,0ec7e1506fd15f9eab2d07bff0c128dc1b392deaa811dcd2fc2a462c8d9f7975,impact or ransomware,Windows/AD,HTTP 200; Markdown extracted; 402 words; SHORT_TEXT_REVIEW
DFIR-2020-04-20-badd52fa,The DFIR Report,2020-04-20,"Sqlserver, or the Miner in the Basement - The DFIR Report",A,HTML,The_DFIR_Report/2020-04-20_sqlserver-or-the-miner-in-the-basement.html,The_DFIR_Report/2020-04-20_sqlserver-or-the-miner-in-the-basement.md,https://thedfirreport.com/2020/04/20/sqlserver-or-the-miner-in-the-basement/,c6fc87e5a92b8cd02d5ae3b1d123ae77cd830bfea38045a2a7f3c07cb2808002,multi-stage intrusion investigation,Windows/AD,HTTP 200; Markdown extracted; 862 words
DFIR-2020-04-24-8b4e13f1,The DFIR Report,2020-04-24,Ursnif via LOLbins - The DFIR Report,B,HTML,The_DFIR_Report/2020-04-24_ursnif-via-lolbins.html,The_DFIR_Report/2020-04-24_ursnif-via-lolbins.md,https://thedfirreport.com/2020/04/24/ursnif-via-lolbins/,7e87881f3dbc4b9eaa2d8fd6489ce0d2d10f132be3d711ae902be2a6aea0ec5e,multi-stage intrusion investigation,Windows/AD,HTTP 200; Markdown extracted; 706 words; SHORT_TEXT_REVIEW
DFIR-2020-04-30-52b6b755,The DFIR Report,2020-04-30,Tricky Pyxie - The DFIR Report,A,HTML,The_DFIR_Report/2020-04-30_tricky-pyxie.html,The_DFIR_Report/2020-04-30_tricky-pyxie.md,https://thedfirreport.com/2020/04/30/tricky-pyxie/,25782e06a7973efc87fa3c228e64b40f3338341d2fbd607f9680c02f2feb15b2,multi-stage intrusion investigation,Windows/AD,HTTP 200; Markdown extracted; 932 words
DFIR-2020-05-08-64e9b606,The DFIR Report,2020-05-08,AdFind Recon - The DFIR Report,B,HTML,The_DFIR_Report/2020-05-08_adfind-recon.html,The_DFIR_Report/2020-05-08_adfind-recon.md,https://thedfirreport.com/2020/05/08/adfind-recon/,2ece284d543b0f47f7bcb731b9dab9100d9aa613787f1e09eb64c83e76a367df,multi-stage intrusion investigation,Windows/AD,HTTP 200; Markdown extracted; 477 words; SHORT_TEXT_REVIEW
DFIR-2020-06-10-6db139cd,The DFIR Report,2020-06-10,"Lockbit Ransomware, Why You No Spread? - The DFIR Report",B,HTML,The_DFIR_Report/2020-06-10_lockbit-ransomware-why-you-no-spread.html,The_DFIR_Report/2020-06-10_lockbit-ransomware-why-you-no-spread.md,https://thedfirreport.com/2020/06/10/lockbit-ransomware-why-you-no-spread/,9b0c51781438d0b560ae9557f4a8b7c4e98da9248d4244f5a13eef5409094f6f,impact or ransomware,Windows/AD,HTTP 200; Markdown extracted; 428 words; SHORT_TEXT_REVIEW
DFIR-2020-06-16-e0e1a3f1,The DFIR Report,2020-06-16,The Little Ransomware That Couldn’t (Dharma) - The DFIR Report,A,HTML,The_DFIR_Report/2020-06-16_the-little-ransomware-that-couldnt-dharma.html,The_DFIR_Report/2020-06-16_the-little-ransomware-that-couldnt-dharma.md,https://thedfirreport.com/2020/06/16/the-little-ransomware-that-couldnt-dharma/,d2a4f601715e322cbc9529c507303e2072c64d24ffbc2e3e53be1c5b4525751c,impact or ransomware,Windows/AD,HTTP 200; Markdown extracted; 1385 words
DFIR-2020-06-21-88785498,The DFIR Report,2020-06-21,Snatch Ransomware - The DFIR Report,A,HTML,The_DFIR_Report/2020-06-21_snatch-ransomware.html,The_DFIR_Report/2020-06-21_snatch-ransomware.md,https://thedfirreport.com/2020/06/21/snatch-ransomware/,3a33b2125ed7d9ba50273d4676d3bd79424bcb1df10233180f02c91334990f5d,impact or ransomware,Windows/AD,HTTP 200; Markdown extracted; 2154 words
DFIR-2020-07-13-35dd4f8b,The DFIR Report,2020-07-13,Ransomware Again...But We Changed the RDP Port!?!?! - The DFIR Report,B,HTML,The_DFIR_Report/2020-07-13_ransomware-again-but-we-changed-the-rdp-port.html,The_DFIR_Report/2020-07-13_ransomware-again-but-we-changed-the-rdp-port.md,https://thedfirreport.com/2020/07/13/ransomware-again-but-we-changed-the-rdp-port/,b599e5fa39b0f5da152c7df4e4be7392f0edfdefcc78eee0e85899307567f95a,remote services or credential attack; impact or ransomware,Windows/AD,HTTP 200; Markdown extracted; 367 words; SHORT_TEXT_REVIEW
DFIR-2020-08-03-9273365b,The DFIR Report,2020-08-03,Dridex - From Word to Domain Dominance - The DFIR Report,A,HTML,The_DFIR_Report/2020-08-03_dridex-from-word-to-domain-dominance.html,The_DFIR_Report/2020-08-03_dridex-from-word-to-domain-dominance.md,https://thedfirreport.com/2020/08/03/dridex-from-word-to-domain-dominance/,892d38375d41486a11117a986a0b174c84e452a109a6cb299b529b43e8e859a8,Active Directory or privilege escalation,Windows/AD,HTTP 200; Markdown extracted; 2594 words; WordPress REST recovery cached as 2020-08-03_dridex-from-word-to-domain-dominance.rest.json
DFIR-2020-08-31-1405ca74,The DFIR Report,2020-08-31,NetWalker Ransomware in 1 Hour - The DFIR Report,A,HTML,The_DFIR_Report/2020-08-31_netwalker-ransomware-in-1-hour.html,The_DFIR_Report/2020-08-31_netwalker-ransomware-in-1-hour.md,https://thedfirreport.com/2020/08/31/netwalker-ransomware-in-1-hour/,9e64133b6c4a8679bd300925528e0cb4e56ff2a813534b58b9cef80c8f483740,impact or ransomware,Windows/AD,HTTP 200; Markdown extracted; 1052 words
DFIR-2020-10-08-199d358d,The DFIR Report,2020-10-08,Ryuk's Return - The DFIR Report,A,HTML,The_DFIR_Report/2020-10-08_ryuks-return.html,The_DFIR_Report/2020-10-08_ryuks-return.md,https://thedfirreport.com/2020/10/08/ryuks-return/,df6493aa6185a17b5b57e21527495d31889844b8c460d260300eb0fccddb5993,multi-stage intrusion investigation,Windows/AD,HTTP 200; Markdown extracted; 2503 words
DFIR-2020-10-18-93a6de81,The DFIR Report,2020-10-18,Ryuk in 5 Hours - The DFIR Report,A,HTML,The_DFIR_Report/2020-10-18_ryuk-in-5-hours.html,The_DFIR_Report/2020-10-18_ryuk-in-5-hours.md,https://thedfirreport.com/2020/10/18/ryuk-in-5-hours/,3b8b429f63c6e4894fe724b2a0e170685066ea0c442ad35dee8998863ba843b9,multi-stage intrusion investigation,Windows/AD,HTTP 200; Markdown extracted; 2602 words
DFIR-2020-11-05-77697b15,The DFIR Report,2020-11-05,"Ryuk Speed Run, 2 Hours to Ransom - The DFIR Report",A,HTML,The_DFIR_Report/2020-11-05_ryuk-speed-run-2-hours-to-ransom.html,The_DFIR_Report/2020-11-05_ryuk-speed-run-2-hours-to-ransom.md,https://thedfirreport.com/2020/11/05/ryuk-speed-run-2-hours-to-ransom/,b1e5cdecdaf65107e824137d586895e1b6cbdb7ecbdfc23a3ff42843eb12c50b,impact or ransomware,Windows/AD,HTTP 200; Markdown extracted; 2664 words
DFIR-2020-11-12-0e826fa3,The DFIR Report,2020-11-12,Cryptominers Exploiting WebLogic RCE CVE-2020-14882 - The DFIR Report,A,HTML,The_DFIR_Report/2020-11-12_cryptominers-exploiting-weblogic-rce-cve-2020-14882.html,The_DFIR_Report/2020-11-12_cryptominers-exploiting-weblogic-rce-cve-2020-14882.md,https://thedfirreport.com/2020/11/12/cryptominers-exploiting-weblogic-rce-cve-2020-14882/,3497763b573e71ffd395fbd67a2bc9afc8c4db3a1110230a48144d4752536d3b,public-facing exploitation,Windows/AD,HTTP 200; Markdown extracted; 1077 words
DFIR-2020-11-23-13d86f4f,The DFIR Report,2020-11-23,PYSA/Mespinoza Ransomware,A,HTML,The_DFIR_Report/2020-11-23_pysa-mespinoza-ransomware.html,The_DFIR_Report/2020-11-23_pysa-mespinoza-ransomware.md,https://thedfirreport.com/2020/11/23/pysa-mespinoza-ransomware/,076c3939ad916573d484e47925eaa78ab571769867ae84f05dd147a362e46503,impact or ransomware,Windows/AD,HTTP 200; Markdown extracted; 2218 words
DFIR-2020-12-13-e9a36d49,The DFIR Report,2020-12-13,Defender Control,B,HTML,The_DFIR_Report/2020-12-13_defender-control.html,The_DFIR_Report/2020-12-13_defender-control.md,https://thedfirreport.com/2020/12/13/defender-control/,6f419f41f010ee4ee8fab4229f5d5bf424f26707701b2cc253ea8eebbe17f7be,multi-stage intrusion investigation,Windows/AD,HTTP 200; Markdown extracted; 779 words; SHORT_TEXT_REVIEW
DFIR-2021-01-11-2fbf3cd4,The DFIR Report,2021-01-11,Trickbot Still Alive and Well,A,HTML,The_DFIR_Report/2021-01-11_trickbot-still-alive-and-well.html,The_DFIR_Report/2021-01-11_trickbot-still-alive-and-well.md,https://thedfirreport.com/2021/01/11/trickbot-still-alive-and-well/,103725db1bf4844ee51a991927c0fe056baec4febff757ad75a7199cc1ada756,multi-stage intrusion investigation,Windows/AD,HTTP 200; Markdown extracted; 1960 words
DFIR-2021-01-18-8404b22d,The DFIR Report,2021-01-18,All That for a Coinminer? - The DFIR Report,A,HTML,The_DFIR_Report/2021-01-18_all-that-for-a-coinminer.html,The_DFIR_Report/2021-01-18_all-that-for-a-coinminer.md,https://thedfirreport.com/2021/01/18/all-that-for-a-coinminer/,012ff639d1afa3caca101aeb0b57856ab66168cc80e2de217fba18ada229a6eb,multi-stage intrusion investigation,Windows/AD,HTTP 200; Markdown extracted; 1717 words
DFIR-2021-01-31-d440f00f,The DFIR Report,2021-01-31,"Bazar, No Ryuk?",A,HTML,The_DFIR_Report/2021-01-31_bazar-no-ryuk.html,The_DFIR_Report/2021-01-31_bazar-no-ryuk.md,https://thedfirreport.com/2021/01/31/bazar-no-ryuk/,b511953f4bcfe8ccf251ec845e8222dcc50a92b4f1c2b19cdf112e6314570f98,phishing or user execution,Windows/AD,HTTP 200; Markdown extracted; 2096 words
DFIR-2021-02-28-cb26d4ca,The DFIR Report,2021-02-28,Laravel Apps Leaking Secrets - The DFIR Report,B,HTML,The_DFIR_Report/2021-02-28_laravel-debug-leaking-secrets.html,The_DFIR_Report/2021-02-28_laravel-debug-leaking-secrets.md,https://thedfirreport.com/2021/02/28/laravel-debug-leaking-secrets/,aec74765ee6873923f9a58ca36a499cc6ec29cb032022de42f4d2999c8d4c8cf,multi-stage intrusion investigation,Windows/AD,HTTP 200; Markdown extracted; 714 words; SHORT_TEXT_REVIEW
DFIR-2021-03-08-641d966b,The DFIR Report,2021-03-08,Bazar Drops the Anchor,A,HTML,The_DFIR_Report/2021-03-08_bazar-drops-the-anchor.html,The_DFIR_Report/2021-03-08_bazar-drops-the-anchor.md,https://thedfirreport.com/2021/03/08/bazar-drops-the-anchor/,a588784e5beb60cfc4ac537cf8ec1e946981eac1725b394cf237e56b5c77544f,phishing or user execution,Windows/AD,HTTP 200; Markdown extracted; 3169 words
DFIR-2021-03-29-c191d02f,The DFIR Report,2021-03-29,Sodinokibi (aka REvil) Ransomware,A,HTML,The_DFIR_Report/2021-03-29_sodinokibi-aka-revil-ransomware.html,The_DFIR_Report/2021-03-29_sodinokibi-aka-revil-ransomware.md,https://thedfirreport.com/2021/03/29/sodinokibi-aka-revil-ransomware/,c3d19de61e73d9394823b7a8421ede3ad208bab50196705ff0f6319be9415af5,impact or ransomware,Windows/AD,HTTP 200; Markdown extracted; 3605 words
DFIR-2021-05-02-cd84d0f8,The DFIR Report,2021-05-02,Trickbot Brief: Creds and Beacons,A,HTML,The_DFIR_Report/2021-05-02_trickbot-brief-creds-and-beacons.html,The_DFIR_Report/2021-05-02_trickbot-brief-creds-and-beacons.md,https://thedfirreport.com/2021/05/02/trickbot-brief-creds-and-beacons/,537ba212546f931e7979b3a6081b09234b3f93c6c4ba0c373848955e4feef523,multi-stage intrusion investigation,Windows/AD,HTTP 200; Markdown extracted; 1249 words
DFIR-2021-05-12-2ddbe01a,The DFIR Report,2021-05-12,Conti Ransomware,A,HTML,The_DFIR_Report/2021-05-12_conti-ransomware.html,The_DFIR_Report/2021-05-12_conti-ransomware.md,https://thedfirreport.com/2021/05/12/conti-ransomware/,c7e66562b58397e63704a4d92c235c25ccc801b7a96afd483675068288e006d2,impact or ransomware,Windows/AD,HTTP 200; Markdown extracted; 3417 words
DFIR-2021-06-03-9fcc4456,The DFIR Report,2021-06-03,WebLogic RCE Leads to XMRig,A,HTML,The_DFIR_Report/2021-06-03_weblogic-rce-leads-to-xmrig.html,The_DFIR_Report/2021-06-03_weblogic-rce-leads-to-xmrig.md,https://thedfirreport.com/2021/06/03/weblogic-rce-leads-to-xmrig/,0cbdda430f278a551ad7c98f9c47c45ef69736fd3333e5fe6b906c62ce1c1de3,multi-stage intrusion investigation,Windows/AD,HTTP 200; Markdown extracted; 1423 words
DFIR-2021-06-20-a42aaa06,The DFIR Report,2021-06-20,From Word to Lateral Movement in 1 Hour,A,HTML,The_DFIR_Report/2021-06-20_from-word-to-lateral-movement-in-1-hour.html,The_DFIR_Report/2021-06-20_from-word-to-lateral-movement-in-1-hour.md,https://thedfirreport.com/2021/06/20/from-word-to-lateral-movement-in-1-hour/,24f95b0ec5c3e540bd5d78c98c452ea4290218b521eda80d55374180677c7863,multi-stage intrusion investigation,Windows/AD,HTTP 200; Markdown extracted; 2617 words
DFIR-2021-06-28-17881de9,The DFIR Report,2021-06-28,Hancitor Continues to Push Cobalt Strike,A,HTML,The_DFIR_Report/2021-06-28_hancitor-continues-to-push-cobalt-strike.html,The_DFIR_Report/2021-06-28_hancitor-continues-to-push-cobalt-strike.md,https://thedfirreport.com/2021/06/28/hancitor-continues-to-push-cobalt-strike/,2512df91f2a1f69ebf7c70a456187b740a616df4c65926e34d1bf5d6bec30727,multi-stage intrusion investigation,Windows/AD,HTTP 200; Markdown extracted; 1996 words
DFIR-2021-07-19-fcdd4af4,The DFIR Report,2021-07-19,IcedID and Cobalt Strike vs Antivirus,A,HTML,The_DFIR_Report/2021-07-19_icedid-and-cobalt-strike-vs-antivirus.html,The_DFIR_Report/2021-07-19_icedid-and-cobalt-strike-vs-antivirus.md,https://thedfirreport.com/2021/07/19/icedid-and-cobalt-strike-vs-antivirus/,c5675da66f48246497333555ff65f3bbaffa8a4474bdfd1cbd56457750d8494a,phishing or user execution,Windows/AD,HTTP 200; Markdown extracted; 3031 words
DFIR-2021-08-01,The DFIR Report,2021-08-01,BazarCall to Conti Ransomware via Trickbot and Cobalt Strike,A,HTML,The_DFIR_Report/2021-08-01_BazarCall-to-Conti.html,The_DFIR_Report/2021-08-01_BazarCall-to-Conti.md,https://thedfirreport.com/2021/08/01/bazarcall-to-conti-ransomware-via-trickbot-and-cobalt-strike/,74fb4df6d8aadd776fab9bb199774fdb51256bb1880087351e630c3182d8457e,Office lure; TrickBot; Cobalt Strike; lateral movement; Conti,Windows/AD,HTTP 200; Markdown extracted; 3967 words
DFIR-2021-08-16-646341c1,The DFIR Report,2021-08-16,Trickbot Leads Up to Fake 1Password Installation,A,HTML,The_DFIR_Report/2021-08-16_trickbot-leads-up-to-fake-1password-installation.html,The_DFIR_Report/2021-08-16_trickbot-leads-up-to-fake-1password-installation.md,https://thedfirreport.com/2021/08/16/trickbot-leads-up-to-fake-1password-installation/,fbc7d3ebb7fe99f030a44e84cc47b6432071a87b91e1513f65ec2e965a81797a,multi-stage intrusion investigation,Windows/AD,HTTP 200; Markdown extracted; 3720 words
DFIR-2021-08-29-2d937a71,The DFIR Report,2021-08-29,"Cobalt Strike, a Defender's Guide",B,HTML,The_DFIR_Report/2021-08-29_cobalt-strike-a-defenders-guide.html,The_DFIR_Report/2021-08-29_cobalt-strike-a-defenders-guide.md,https://thedfirreport.com/2021/08/29/cobalt-strike-a-defenders-guide/,e190e0de0d52ee3a58869ad8cdef8bf61d41952f4ee676079f28a19d93192265,multi-stage intrusion investigation,Windows/AD,HTTP 200; Markdown extracted; 5112 words
DFIR-2021-09-13-ddfce7cc,The DFIR Report,2021-09-13,BazarLoader to Conti Ransomware in 32 Hours,A,HTML,The_DFIR_Report/2021-09-13_bazarloader-to-conti-ransomware-in-32-hours.html,The_DFIR_Report/2021-09-13_bazarloader-to-conti-ransomware-in-32-hours.md,https://thedfirreport.com/2021/09/13/bazarloader-to-conti-ransomware-in-32-hours/,b30e46e2697a249f2fe2b3ca9a5a5ff445b061ad4ef6894a284da4e2fbeac9a3,phishing or user execution; impact or ransomware,Windows/AD,HTTP 200; Markdown extracted; 3582 words
DFIR-2021-10-04-c421eab0,The DFIR Report,2021-10-04,BazarLoader and the Conti Leaks,A,HTML,The_DFIR_Report/2021-10-04_bazarloader-and-the-conti-leaks.html,The_DFIR_Report/2021-10-04_bazarloader-and-the-conti-leaks.md,https://thedfirreport.com/2021/10/04/bazarloader-and-the-conti-leaks/,a160f496d24fca821e57a64ed8c261eecc2ec9c059f103381b829c101a090f18,phishing or user execution,Windows/AD,HTTP 200; Markdown extracted; 5284 words
DFIR-2021-10-18-35497b29,The DFIR Report,2021-10-18,IcedID to XingLocker Ransomware in 24 hours,A,HTML,The_DFIR_Report/2021-10-18_icedid-to-xinglocker-ransomware-in-24-hours.html,The_DFIR_Report/2021-10-18_icedid-to-xinglocker-ransomware-in-24-hours.md,https://thedfirreport.com/2021/10/18/icedid-to-xinglocker-ransomware-in-24-hours/,70f7da101812946decd002c63cedca4941499703da79194ef7281d55ecb0f31b,phishing or user execution; impact or ransomware,Windows/AD,HTTP 200; Markdown extracted; 6269 words
DFIR-2021-11-01-48ca1916,The DFIR Report,2021-11-01,From Zero to Domain Admin,A,HTML,The_DFIR_Report/2021-11-01_from-zero-to-domain-admin.html,The_DFIR_Report/2021-11-01_from-zero-to-domain-admin.md,https://thedfirreport.com/2021/11/01/from-zero-to-domain-admin/,79997f5fbe80451a53244bdd100c15338d63a279500518f1b9826ae00e6f6cca,Active Directory or privilege escalation,Windows/AD,HTTP 200; Markdown extracted; 4262 words
DFIR-2021-11-15,The DFIR Report,2021-11-15,Exchange Exploit Leads to Domain Wide Ransomware,A,HTML,The_DFIR_Report/2021-11-15_Exchange-Exploit-to-Domain-Ransomware.html,The_DFIR_Report/2021-11-15_Exchange-Exploit-to-Domain-Ransomware.md,https://thedfirreport.com/2021/11/15/exchange-exploit-leads-to-domain-wide-ransomware/,599790a3080abd13e62a43975aa66cb3b10eec6e60053b36a6da645f325afdd4,Exchange exploit; webshell; LSASS; proxy; disk encryption,Windows/AD,HTTP 200; Markdown extracted; 4810 words
DFIR-2021-11-29-20e24c9b,The DFIR Report,2021-11-29,CONTInuing the Bazar Ransomware Story,A,HTML,The_DFIR_Report/2021-11-29_continuing-the-bazar-ransomware-story.html,The_DFIR_Report/2021-11-29_continuing-the-bazar-ransomware-story.md,https://thedfirreport.com/2021/11/29/continuing-the-bazar-ransomware-story/,842057798a88a76edd5e353d24a02849bdd30b00e0aaa01c47cd04f04a5c5e20,phishing or user execution; impact or ransomware,Windows/AD,HTTP 200; Markdown extracted; 5017 words
DFIR-2021-12-13-4d362207,The DFIR Report,2021-12-13,Diavol Ransomware,A,HTML,The_DFIR_Report/2021-12-13_diavol-ransomware.html,The_DFIR_Report/2021-12-13_diavol-ransomware.md,https://thedfirreport.com/2021/12/13/diavol-ransomware/,a1efd36b54055a70d1ed3a3f79ed1e566a4e65dc9c1211f160739727ca97d985,impact or ransomware,Windows/AD,HTTP 200; Markdown extracted; 4410 words
DFIR-2022-01-24-0b037053,The DFIR Report,2022-01-24,"Cobalt Strike, a Defender’s Guide - Part 2",B,HTML,The_DFIR_Report/2022-01-24_cobalt-strike-a-defenders-guide-part-2.html,The_DFIR_Report/2022-01-24_cobalt-strike-a-defenders-guide-part-2.md,https://thedfirreport.com/2022/01/24/cobalt-strike-a-defenders-guide-part-2/,47c002e66f3eb38d0151d890b84cb67147650320300656bade4da89e68ca13bf,multi-stage intrusion investigation,Windows/AD,HTTP 200; Markdown extracted; 4435 words
